reject_date,symbol,sector,close_at_reject,market_cap_cr,trade_quality,confidence,top_reasons,close_5d,return_5d_pct,close_10d,return_10d_pct,close_20d,return_20d_pct,measured_at,notes
2026-07-16,SAKSOFT.NS,IT,181.88,2411.0,65.5,54.26,"CONF_FAIL(got 54.3, need 70) | TQ_FAIL(got 65.5, need 68) | INSTITUTIONAL_EXIT",173.17,-4.79,,,,,2026-07-21T19:21:36,
2026-07-16,SAKAR.NS,DIVERSIFIED,896.95,1996.0,72.8,45.305,ROE_TOO_LOW(10.0%<10%),878.75,-2.03,,,,,2026-07-21T19:21:37,
2026-07-16,RRKABEL.NS,DIVERSIFIED,2403.9,27192.0,70.7,66.2,"CONF_FAIL(got 66.2, need 70) | SECTOR_RANK_TOO_LOW(rank=12>top6)",2345.4,-2.43,,,,,2026-07-21T19:21:31,
2026-07-16,ROLEXRINGS.NS,DIVERSIFIED,155.51,0.0,69.5,68.45,"CONF_FAIL(got 68.5, need 70) | RR_FAIL(got 1.42, need 1.7) | SECTOR_RANK_TOO_LOW(rank=12>top6)",150.86,-2.99,,,,,2026-07-21T19:21:29,
2026-07-16,RITCO.NS,DIVERSIFIED,271.55,777.0,74.3,64.06,"CONF_FAIL(got 64.1, need 70) | SECTOR_RANK_TOO_LOW(rank=12>top6)",279.8,3.04,,,,,2026-07-21T19:21:34,
2026-07-16,RAIN.NS,DIVERSIFIED,213.64,7190.0,67.9,64.74000000000001,ROE_TOO_LOW(0.6%<10%),223.4,4.57,,,,,2026-07-21T19:21:33,
2026-07-16,PSPPROJECT.NS,DIVERSIFIED,1081.4,4294.0,59.4,57.79,ROE_TOO_LOW(4.5%<10%),1077.4,-0.37,,,,,2026-07-21T19:21:55,
2026-07-16,PPAP.NS,DIVERSIFIED,328.54,465.0,45.7,20.32,MARKET_CAP_LOW_₹465Cr_(min_₹500Cr),302.91,-7.8,,,,,2026-07-21T19:22:19,
2026-07-16,POLYMED.NS,PHARMA,1715.6,17396.0,63.9,61.03,REGIME_NO_BUY,1695.9,-1.15,,,,,2026-07-21T19:21:47,
2026-07-16,PLASTIBLEN.NS,DIVERSIFIED,202.33,0.0,67.5,63.56,"CONF_FAIL(got 63.6, need 70) | TQ_FAIL(got 67.5, need 68) | RR_FAIL(got 1.36, need 1.7)",197.84,-2.22,,,,,2026-07-21T19:21:35,
2026-07-16,PICCADIL.NS,DIVERSIFIED,727.65,7172.0,55.5,32.8,REGIME_NO_BUY,753.95,3.61,,,,,2026-07-21T19:22:14,
2026-07-16,PHOENIXLTD.NS,REALTY,2132.4,76272.0,64.6,59.06,REGIME_NO_BUY,2091.2,-1.93,,,,,2026-07-21T19:21:50,
2026-07-16,PGIL.NS,TEXTILES,2038.6,9410.0,68.1,59.075,REGIME_NO_BUY,2047.8,0.45,,,,,2026-07-21T19:21:49,
2026-07-16,PGEL.NS,DIVERSIFIED,599.75,17233.0,73.6,37.88,ROE_TOO_LOW(6.7%<10%),610.15,1.73,,,,,2026-07-21T19:22:12,
2026-07-16,PDSL.NS,DIVERSIFIED,377.2,5339.0,67.1,55.135,REGIME_NO_BUY,364.8,-3.29,,,,,2026-07-21T19:22:02,
2026-07-16,PAYTM.NS,FINANCE,1368.0,87611.0,62.4,57.43,ROE_TOO_LOW(4.7%<10%),1300.5,-4.93,,,,,2026-07-21T19:21:55,
2026-07-16,PARKHOTELS.NS,DIVERSIFIED,129.67,2767.0,63.7,54.69,ROE_TOO_LOW(5.1%<10%),128.02,-1.27,,,,,2026-07-21T19:22:02,
2026-07-16,PARKHOSPS.NS,DIVERSIFIED,291.05,12582.0,70.9,57.39,REGIME_NO_BUY,270.7,-6.99,,,,,2026-07-21T19:21:57,
2026-07-16,PAISALO.NS,DIVERSIFIED,72.03,6553.0,68.8,29.46,DE_TOO_HIGH(2.43>1.50),72.18,0.21,,,,,2026-07-21T19:22:16,
2026-07-16,OPTIEMUS.NS,DIVERSIFIED,565.85,5021.0,53.5,57.239999999999995,ROE_TOO_LOW(9.2%<10%),605.35,6.98,,,,,2026-07-21T19:21:58,
2026-07-16,ONWARDTEC.NS,DIVERSIFIED,288.2,640.0,78.4,25.705000000000002,"CONF_FAIL(got 25.7, need 70) | SECTOR_RANK_TOO_LOW(rank=12>top6) | INSTITUTIONAL_EXIT",292.15,1.37,,,,,2026-07-21T19:21:42,
2026-07-16,OMAXE.NS,DIVERSIFIED,96.94,1774.0,55.8,16.12,REGIME_NO_BUY,92.74,-4.33,,,,,2026-07-21T19:22:23,
2026-07-16,OFSS.NS,IT,11625.0,101191.0,70.5,65.56,REGIME_NO_BUY,11632.0,0.06,,,,,2026-07-21T19:21:44,
2026-07-16,NYKAA.NS,CONSUMER,329.1,94323.0,58.9,57.11,REGIME_NO_BUY,327.95,-0.35,,,,,2026-07-21T19:21:58,
2026-07-16,NUVOCO.NS,DIVERSIFIED,377.25,13470.0,66.5,18.45,REGIME_NO_BUY,361.6,-4.15,,,,,2026-07-21T19:22:21,
2026-07-16,NUVAMA.NS,DIVERSIFIED,1919.3,35001.0,60.4,58.959999999999994,DE_TOO_HIGH(2.82>1.50),1891.6,-1.44,,,,,2026-07-21T19:21:50,
2026-07-16,NEWGEN.NS,DIVERSIFIED,541.95,7701.0,61.6,41.32,"CONF_FAIL(got 41.3, need 70) | TQ_FAIL(got 61.6, need 68) | RR_FAIL(got 1.69, need 1.7)",546.3,0.8,,,,,2026-07-21T19:21:39,
2026-07-16,NEOGEN.NS,DIVERSIFIED,2272.2,6217.0,69.6,31.57,REGIME_NO_BUY,2155.3,-5.14,,,,,2026-07-21T19:22:16,
2026-07-16,NAVNETEDUL.NS,DIVERSIFIED,150.45,3321.0,75.1,61.375,ROE_TOO_LOW(8.0%<10%),146.19,-2.83,,,,,2026-07-21T19:21:47,
2026-07-16,NAVKARCORP.NS,LOGISTICS,116.09,1744.0,72.7,53.45,ROE_TOO_LOW(6.2%<10%),104.03,-10.39,,,,,2026-07-21T19:22:04,
2026-07-16,MUTHOOTMF.NS,DIVERSIFIED,245.54,0.0,61.5,54.25,ROE_TOO_LOW(6.2%<10%),254.3,3.57,,,,,2026-07-21T19:22:03,
2026-07-16,MUKANDLTD.NS,DIVERSIFIED,146.2,2120.0,72.3,31.83,"CONF_FAIL(got 31.8, need 70) | RR_FAIL(got 1.30, need 1.7) | SECTOR_RANK_TOO_LOW(rank=12>top6)",145.88,-0.22,,,,,2026-07-21T19:21:41,
2026-07-16,MOSCHIP.NS,DIVERSIFIED,247.98,4823.0,68.4,20.33,REGIME_NO_BUY,245.28,-1.09,,,,,2026-07-21T19:22:18,
2026-07-16,MOREPENLAB.NS,PHARMA,61.24,3354.0,69.2,36.13,REGIME_NO_BUY,56.82,-7.22,,,,,2026-07-21T19:22:12,
2026-07-16,MOBIKWIK.NS,DIVERSIFIED,224.59,1770.0,66.1,19.02,REGIME_NO_BUY,208.66,-7.09,,,,,2026-07-21T19:22:20,
2026-07-16,METROPOLIS.NS,DIVERSIFIED,571.65,11858.0,76.8,64.04,REGIME_NO_BUY,568.8,-0.5,,,,,2026-07-21T19:21:45,
2026-07-16,MBAPL.NS,METALS,126.55,0.0,63.9,32.49,DE_TOO_HIGH(1.57>1.50),143.75,13.59,,,,,2026-07-21T19:22:15,
2026-07-16,MARKSANS.NS,HEALTHCARE,275.75,12501.0,75.1,58.85499999999999,REGIME_NO_BUY,260.3,-5.6,,,,,2026-07-21T19:21:51,
2026-07-16,MANAKCOAT.NS,CAPITAL_GOODS,124.65,1328.0,68.4,34.93,"CONF_FAIL(got 34.9, need 70) | SECTOR_RANK_TOO_LOW(rank=8>top6)",123.19,-1.17,,,,,2026-07-21T19:21:40,
2026-07-16,LXCHEM.NS,METALS,168.82,4658.0,74.7,32.92,ROE_TOO_LOW(4.1%<10%),181.53,7.53,,,,,2026-07-21T19:22:14,
2026-07-16,LODHA.NS,REALTY,1162.4,115716.0,53.8,18.89,REGIME_NO_BUY,1198.95,3.14,,,,,2026-07-21T19:22:21,
