bucket,n,wins,losses,time_exits,win_rate_pct,stop_rate_pct,avg_r,expectancy_R,profit_factor,avg_hold_bars,low_n
WEAK,10691,2978,7342,371,27.9,68.7,-0.304,-0.304,0.69,5.2,no
SIDEWAYS,5732,1163,4482,87,20.3,78.2,-0.176,-0.176,0.83,3.8,no
CAUTIOUS_BULLISH,5958,2242,3366,350,37.6,56.5,-0.107,-0.107,0.82,6.7,no
BULLISH,4284,1931,1978,375,45.1,46.2,0.06,0.06,1.12,7.9,no
